Município,Distrito,Nome,2024
Fornos de Algodres,Guarda,São Miguel Arcanjo,dom. 29 setembro
Freixo de Espada à Cinta,Bragança,Segunda-feira de Páscoa,seg. 1 abril
Fronteira,Portalegre,Batalha dos Atoleiros,sáb. 6 abril
Funchal,Madeira,Elevação a cidade,qua. 21 agosto
Fundão,Castelo Branco,Santa Luzia,dom. 15 setembro
Gavião,Portalegre,Recebimento do foral manuelino,sáb. 23 novembro
Góis,Coimbra,Doação de Góis a Anaia Vestrares,ter. 13 agosto
Golegã,Santarém,Quinta-feira da Ascensão,qui. 9 maio
Gondomar,Porto,Nossa Senhora do Rosário,seg. 7 outubro
Gouveia,Guarda,Nosso Senhor do Calvário,seg. 12 agosto
Grândola,Setúbal,Criação do município através do foral,ter. 22 outubro
Guarda,Guarda,Foral de D. Sancho I,qua. 27 novembro
Guimarães,Braga,Batalha de São Mamede,seg. 24 junho
Horta,Açores,São João Baptista,seg. 24 junho
Idanha-A-Nova,Castelo Branco,Nossa Senhora do Almortão,seg. 15 abril
Ílhavo,Aveiro,Segunda-feira de Páscoa,seg. 1 abril
Lagoa,Açores,Criação do município,qui. 11 abril
Lagoa,Faro,Nossa Senhora da Luz,dom. 8 setembro
Lagos,Faro,São Gonçalo de Lagos,dom. 27 outubro
Lajes das Flores,Açores,Nossa Senhora do Rosário,seg. 22 julho
Lajes do Pico,Açores,Criação do município,sáb. 29 junho
Lamego,Viseu,Nossa Senhora dos Remédios,dom. 8 setembro
Leiria,Leiria,Elevação a cidade e fundação da diocese,qua. 22 maio
Lisboa,Lisboa,Santo António,qui. 13 junho
Loulé,Faro,Quinta-feira da Ascensão,qui. 9 maio
Loures,Lisboa,Criação do município,sex. 26 julho
Lourinhã,Lisboa,São João Baptista,seg. 24 junho
Lousã,Coimbra,São João Baptista,seg. 24 junho
Lousada,Porto,Nosso Senhor dos Aflitos,seg. 29 julho
Mação,Santarém,Segunda-feira de Páscoa,seg. 1 abril
Macedo de Cavaleiros,Bragança,São Pedro,sáb. 29 junho
Machico,Madeira,Criação da Capitania de Machico,qua. 8 maio
Madalena,Açores,Santa Maria Madalena,seg. 22 julho
Mafra,Lisboa,Quinta-feira da Ascensão,qui. 9 maio
Maia,Porto,Nossa Senhora do Bom Despacho,seg. 15 julho
Mangualde,Viseu,Nossa Senhora do Castelo,dom. 8 setembro
Manteigas,Guarda,Outorgação do foral,seg. 4 março
Marco de Canaveses,Porto,Nossa Senhora do Castelinho,dom. 8 setembro
Marinha Grande,Leiria,Quinta-feira da Ascensão,qui. 9 maio
Marvão,Portalegre,Nossa Senhora da Estrela,dom. 8 setembro
Matosinhos,Porto,Terça-feira de Pentecostes,ter. 21 maio
Mealhada,Aveiro,Quinta-feira da Ascensão,qui. 9 maio
Mêda,Guarda,São Martinho,seg. 11 novembro
Melgaço,Viana do Castelo,Quinta-feira da Ascensão,qui. 9 maio
Mértola,Beja,São João Baptista,seg. 24 junho
Mesão Frio,Vila Real,Santo André,sáb. 30 novembro
Mira,Coimbra,São Tomé,qui. 25 julho
Miranda do Corvo,Coimbra,Nascimento de José Joaquim Pereira Falcão,sáb. 1 junho
Miranda do Douro,Bragança,Elevação a cidade,qua. 10 julho
Mirandela,Bragança,Outorgação do Foral de D. Afonso III (1250),sáb. 25 maio
